PDC ,Nation 1,Capital,Latitude,Longitude,Elevation,Vehicles per 1000 people,Energy/passenger-km (kWh/p-km)
Argonauts ,Congo,Brazzaville,4°16′S,15°17′E,"1,050",,
Dionysus,Slovakia,Bratislava,48°09′N,17°07′E,440,,
Nisus,Norway,Oslo,59°54′50″N ,10°45′8″E,75,,
Vesta,Oman,Muscat,23°35′20″N,58°24′30″E,10,,
Siva,State of Palestine,Gaza City,31°31′N 34°27′E,34°27′E,46,,
Autonoe ,Thailand,Bangko,13°45′N 100°29′E,100°29′E,4.9,,
Ino,United Kingdom,London,51°30′N, 0°7′W,519,,
Pluto,France,Paris,2°21′08″E,48°51′24″N ,256,,
Feronia,Italy,Rome,12°30′E,41°53′N ,69,,
Petra ,Tanzania,Dodoma,35°44′31″E,35°44′31″E,"3,670",,
Akhenaten,Costa Rica,San Jose,"9° 55' 59"" N","W 84° 5' 26.61""","3,845",,
Amphitrite,South Africa,Pretoria,25°44′46″S,28°11′17″E,"4,393",,
Egfrid,Liberia,Monrovia,6°19′N,10°48′W,15,,
Thalassa,Myanmar,Naypyitaw,19°45′N ,96°6′E,377,,
Etheldrida,Ireland,Dublin,53°25′N,8°0′W,3415,,
Hemera,Kenya,Nairobi,1°16′S,36°48′E,,,
Wilfrid,Central African Republic,Bangui,4°22′N ,18°35′E,"1,211",,
Nyx ,South Korea,Seoul,37°33′N 126°58′E,37°33′N 126°58′E,125,,
Cynefrid,New Zealand,Wellington,41°18′S ,174°47′E,15,,
Leda,Colombia,Bogotá,4°42′40″N ,474°4′20″W,"8,612",,
Osthritha,Mauritania,Capital: Nouakchott,18°05′09″N,15°58′43″W,23,,
Pythia,Spain,Madrid,40°25′N,3°43′W,"2,690",,
Theodore,Panama,Panama City,8°58′N,79°32′W,7,,
Erebus,Uganda,Kampala,00°18′49″N , 32°34′52″E,"3,937",,
Elfwin,Kuwait,Kuwait City,29°22′N,47°58′E,15,,
Marie Louis,Croatia,Zagreb[b],45°48′N ,16°0′E,518,,
Demeter,Argentina,Buenos Aires,34°36′S,58°23′W,82,,
Latona,Algeria,Algiers,36°45′14″N, 3°3′32″E,32,,
Lapithae,Moldova,Chișinău,47°01′22″N ,28°50′07″E,279,,
Lachesis,South Sudan,Juba,04°51′N,31°36′E,"1,800",,
Isis,Sudan,Khartoum,15°38′N,032°32′E,"1,250",,
Ida,Georgia,Tbilisi,41°43′21″N, 44°47′33″E,"1,250",,
Io,Dominican Republic,Santo Domingo,19°00′N 70°40′W,19°00′N 70°40′W,46,,
Eulalia,Ukraine,Kyiv,49°N 32°E,49°N 32°E,587,,
Evadne,Eritrea,Asmara,15°19′22″N,38°55′30″E,"7,628",,
Evander,Czech Republic (Czechia),Prague,14°28′E,14°28′E,581,,
Tecula,Iraq,Baghdad,33°20′N,44°23′E,112,,
Typhon,Uruguay,Montevideo,"34°54'4.01""S","56°9'52.31""W",141,,
Toxeos,Greece,Athens,37°58′N,23°43′E,230,,
Cecilia,Afghanistan,Kabul,34°31′31″N 69°10′42″E,69°10′42″E,"5,873",,
Cecrops,Bosnia and Herzegovina,Sarajevo,43°52′N 18°25′E,8°25′E,"1,800",,
Cestus,Jordan,Amman,31°57′N ,35°56′E,"2,300",,
Euphemia,Poland,Warsaw,52°13′N ,21°02′E,328,,
Embia,Mongolia,Ulaanbaatar,47°55′13″N,106°55′02″E,"4,429",,
Eurus,Portugal,Lisbon,38°46′N ,38°46′N,7,,
Merope,Canada,Ottawa,45°24′N 75°40′W,45°24′N 75°40′W,230,,
Mercury,Armenia,Yerevan,40°11′N, 44°31′E,"2,838",,
Metis,Azerbaijan,Baku,40°23′43″N, 49°52′56″E,−92,,
Asterope,Morocco,Capital: Rabat,34°02′N, 6°50′W[,520,,
Ampyx,Jamaica,Kingston,17°58′17″N,76°47′35″W,30,,
Amymone,Sweden,Stockholm,59°21′N ,18°4′E,92,,
Alcyone,Saudi Arabia,Riyadh,24°39′N,46°46′E,"1,965",,
Apis,Qatar,Doha,25°18′N,51°31′E,51,,
Alecto,Honduras,Tegucigalpa,14°6′N 87°13′W,14°6′N 87°13′W,"3,250",,
Zeus,Uzbekistan,Tashkent,41°19′N, 69°16′E,"1,493",,
Zethus,Albania,Capital: Tirana,41°19′44″N,19°49′04″E,360,,
Zoroaster ,United Arab Emirates,Abu Dhab,24°28′N ,54°22′E,89,,
Maia,Peru,Capital Lima,12°2.6′S ,77°1.7′W,5085,,
Milo,Lithuania,Vilnius,54°41′N 25°19′E,25°19′E,367,,
Metanira,Hungary,Budapest,47°26′N ,19°15′E,315,,
Pleiades 6,Angola,Luanda,8°50′S,13°20′E,20,,
Paris,Namibia,Windhoek,22°34′S 17°5′E,22°34′S 17°5′E,"5,430",,
Phaedra,Tajikistan,Dushanbe,38°33′N 68°48′E,38°33′N 68°48′E,"(2,700",hr.tajikistan@akdn.org,info@nukrafom.com
Athena ,Malaysia,Kuala Lumpur,3°8′N,101°41′E,217,,
Ajax,Gambia,Capital Banjul,13°28′N ,16°36′W,1,,
Darius,Belarus,Capital Minsk,53°55′N, 27°33′E,920.6,,
Julius Caesar ,Mozambique,Capital: Maputo,25°58′S , 32°35′E,154,akila.munir@enabel.be,
Saturday ,Botswana,Gaborone,24°39.5′S,25°54.5′E,3327,,
Jasob,Austria,Vienna,48°12′N,16°21′E,"495–1,778",,
Julia Caesar,Ghana,Capital: Accra,5°33′N, 0°12′W,200,,
Jontumheim,Gabon,Capital: Libreville,0°23′25″N , 9°27′15″E,15,,
Juno,Micronesia,Capital: Palikir,6°55′2″N ,158°9′32″E,590,,
Atlas,Yemen,Sanaʽa,15°20′54″N ,44°12′23″E,"7,382",,
Jove,Lesotho,Capital: Maseru,29.31°S , 27.48°E,"5,200",,
Jupiter ,Grenada,St. George's,12°03′N,61°45′W,1,,
Spica,Nepal,Capital: Kathmandu,27.7172°N , 85.3240°E,"4,600",,
Scylia,North Macedonia,Skopje,42°0′N,21°26′E,240 m,,
Xerxes,St. Vincent & Grenadines,Capital: Kingstown,13°09′28″N, 061°13′30″W,15,,
Charolet Ford ,Venezuela,Caracas,10°28′50″N ,66°54′13″W,"3,000",,
Byrsa,Slovenia,Capital: Ljubljana,46°03′20″N , 14°30′30″E,968′,,
Cacus,Tonga,Capital: Nuku'alofa,21°8′0″S,175°12′0″W,"4,226",,
Artemis ,Madagascar,Antananarivo,18°56′S,47°31′E,1,,
Ampya,Guinea-Bissau,Capital: Bissau,11°51′N ,15°34′W,1,,
Amrita,Seychelles,Capital: Victoria,4°37′S, 55°27′E,1,,
Themus ,Cameroon,Yaoundé[1],3°52′N ,11°31′E,"2,382",,
Thisbe,Latvia,"Riga
56°57′N 24°6′E",56°57′N,24°6′E,26,,
Thor,Antigua and Barbuda,Capital: Saint John's,17°07′N,61°51′W,1,,
Phoebe ,Côte d'Ivoire,Capital: Yamoussoukro,6.8276° N, 5.2893° W,742,,
Pactolus,Bahrain,Capital: Manama,26°13′30″N 50°34′39″E,26°13′30″N 50°34′39″E,50,,
Paen,Andorra,Andorra la Vella,42°30′N,01°30′E,"3,356",,
Neoptolemus,North Korea,Capital: Pyongyang,39°1′10″N,125°44′17″E,20,,
Nestor,Equatorial Guinea,Capital: Malabo,3°45′7.43″N,8°46′25.32″E,1,,
Thothmes II,Dominica,Capital: Roseau,15.301389°N,61.388333°W,43,,
Martha Firestone ,Australia,Canberra,35°17′35″S ,149°07′37″E,1896,805002,
Ar Ram,Trinidad and Tobago,Capital: Port of Spain,10°40′N 61°31′W,61°31′W,217,,
Muhammad,Marshall Islands,Capital: Majuro,7°7′N,171°4′E,10,,
Aphrodite ,Niger,Niamey,13°32′N,2°05′E,679,,
Lot,Estonia,Tallinn,59°25′N, 24°45′E,30,,
Aad,Saint Kitts & Nevis,"Capitals: Basseterre, Charlestown",17°18′N 62°44′W,62°44′W,49,,
Electra ,Sri Lanka,Capital: Sri Jayawardenepura Kotte,6°55′N ,79°55′E,49,,
Thamud,Timor-Leste,Dili,59°25′N 24°45′E, 24°45′E,36,,
Madyan,Monaco,Monaco (city-state),43°44′N 7°25′E,7°25′E,13,,
Harmonia ,Burkina Faso,Capital: Ouagadougou,12°22′N ,1°32′W,13,,
Shu'ayb,Mauritius,Capital: Port Louis,20°9′52″S ,57°30′15″E,13,,
Alif,Liechtenstein,Schaan,47°10′N,9°30′35″E,1480,,
Anchises,Mali,Capital: Bamako,12°38′21″N 8°0′10″W,8°0′10″W,32,,
Malik,San Marino,Capital: San Marino,35°10′N,33°22′E,"2,457",,
Rameses II,Cyprus,Capital: Nicosia,35°10′N 33°22′E,33°22′E,720,,
Hatshepsut ,Romania,Bucharest,44°25′57″N,26°6′14″E,183.1,,
Mafdet,Eswatini," Mbabane, Lobamba",26°19′S ,31°08′E,"4,078",,
Irynefer,Palau, Ngerulmud,7°30′2″N ,134°37′27″E,15,,
Hathor,Malawi, Lilongwe,13°59′S , 33°47′E,"3,440",,
Nakht,Djibouti, Djibouti,11°36′N 43°10′E,33°22′E,15,,
Inerkhau,Tuvalu,Funafuti,8°31′S 179°12′E, 179°12′E,15,,
Octavius ,Chile,Santiago,33°26′S,70°40′W,"1,870",,
Re-Herakhty,Fiji,Suva,-18.166667,178.45,1,,
Homemheb,Nauru,Capital: Yaren,0°32′51.72″S ,166°55′15.12″E,82,,
Cleopatra ,Kazakhstan,Nur–Sultan,51°10′N 71°26′E,51°10′N 71°26′E,"1,138",,
Tutankamun,Comoros,Capital: Moroni,11.699°S , 43.256°E,95,,
Taweret,Holy See,Vatican City,41°54.2′N,12°27.2′E,1,,
Atum,Guyana,Georgetown,6°46′N,58°10′W,1,,
Media ,Zambia,Lusaka,15°25′S ,28°17′E,"4,190",,
Nut ,Guatemala,Guatemala City,14°36′48″N ,190°32′7″W,"4,900",,
Amenhotep III,Bhutan,Thimphu,27°28′20″N , 89°38′10″E,"7,657",,
Ramose,Solomon Islands, Honiara,9°25′55″S ,159°57′20″E,95,,
Clotho ,Ecuador,Quito,00°13′12″S ,78°30′45″W,"9,350",,
Tisiphone,Syria,Damascus,33°30′47″N 36°17′31″E,33°30′47″N ,"2,230",,
Nephthys,Montenegro, Podgorica,42°26′28.63″N ,19°15′46.41″E,130,,
Seklet ,Netherlands,Amsterdam,52°22′N ,4°54′E,-7,528,
Gillian,Luxembourg,Luxembourg City,49°48′52″N,06°07′54″E,761,,
Penelope ,Senegal,Capital: Dakar,14°41′34″N,14°41′34″N 17°26′48″W,71,,
Ceres ,Cambodia,Phnom Penh,11°33′N,104°55′E,39.01,,
Phaedram,Suriname, Paramaribo,5°51′8″N,55°12′14″W,10,,
Theseus,Cabo Verde,Praia,14°55′N,23°31′W,1,,
Nefertiti ,Chad,N'Djamena,12°06′N,16°02′E,298 m,,
Nefertari ,Somalia,Mogadishu,2°2′N, 45°21′E,30,,
Sibyl,Zimbabwe,Harare,17°50′S,31°3′E,"4,890",,
Phaedra,Maldives,Capital: Malé,4°10′31″N ,73°30′32″E,7.9,,
Alcmaeon,Malta,Capital: Valletta,35°53′54″N ,14°30′45″E,184,,
Hecate,Guinea, Bissau,35°53′54″N,14°30′45″E[1],184,,
Minerva,Rwanda,Kigali,1°56′38″S , 30°3′34″E,"5,141",,
Euadnen,Brunei, Bandar Seri Begawan,4°53′25″N ,114°56′32″E,15,,
Capaneus,Belize,Belmopan,17°15′N , 88°46′W,250,,
King Psusennes,Bahamas,Nassau,25°4′N, 77°20′W,80,,
Amasidia,Benin,Porto-Novo,6°29′50″N , 2°36′18″E,125,,
Edwin,Iceland,Reykjavík,64°08′N, 21°56′W,15,,
Oswald,Vanuatu,Capital: Port Vila,17°44′S ,168°19′E,194,,
Josephina ,Burundi,Capital: Gitega,3°26′S , 29°54′E,"4,934",,
Eadbald,Barbados,Capital: Bridgetown,13°05′51″N,59°37′00″W,3,,
Dagobert,Sao Tome & Principe,Capital: São Tomé,0°20′10″N, 6°43′50″E,449,,
Helen ,Tunisia,Tunis,36°49′N , 10°11′E,13,,
Maritium X,Bolivia,La Paz,16°30′S,68°09′W,"11,942",,
Theognis,Belgium,Belgium,50°51′N , 4°21′E,43,,
Amazan,Samoa,Capital: Apia,13°50′S , 171°45′W,7,,
Eostra ,Haiti,Capital: Port-au-Prince,18°32′N,72°20′W,15,,
Chaos ,Cuba,Havana,23°8′N,82°23′W,194,,
Sobek,Saint Lucia,Capital: Castries,14°01′N, 60°59′W,6.56,,
Jocasta,Kiribati,Capital: Tarawa,1°20′N,173°00′E,10,,
